City	 County	 State	 Population	 Recyclable Material (TPD)	 Processing Revenue	 Material Revenue	 Pickup Revenue	 Distance	 Truck expense	 House hold cost	 Processing Cost	 Net Recycling	 Annualized	 Latitude	 Longitude 
Fairview	Lincoln	Wyoming	101.0	0.05	1.64	7.28	2.1	336.0645123008462	13.0	0.01	2.92	8.1	2956.5	42.6871	-110.9866
Fontenelle	Lincoln	Wyoming	26.0	0.01	0.42	1.87	0.54	278.93746087243966	2.78	0.0	0.75	2.08	759.2	41.9973	-110.0626
Grover	Lincoln	Wyoming	438.0	0.23	7.1	31.57	9.12	335.49150085950606	56.29	0.06	12.67	35.12	12818.8	42.7947	-110.9294
Hawk Springs	Goshen	Wyoming	7.0	0.0	0.11	0.5	0.15	52.50030221988774	0.14	0.0	0.2	0.56	204.4	41.7852	-104.265
Albany	Albany	Wyoming	46.0	0.02	0.75	3.32	0.96	69.55758653154632	1.23	0.0	1.33	3.7	1350.5	41.1868	-106.1255
Centennial	Albany	Wyoming	308.0	0.16	4.99	22.2	6.42	70.85274683247155	8.36	0.01	8.91	24.7	9015.5	41.3005	-106.1355
Eden	Sweetwater	Wyoming	195.0	0.1	3.16	14.05	4.06	248.52607061070012	18.56	0.02	5.64	15.63	5704.95	42.0601	-109.4391
McKinnon	Sweetwater	Wyoming	51.0	0.02	0.83	3.68	1.06	268.16970907176506	5.24	0.01	1.48	4.09	1492.85	41.0314	-109.9384
Farson	Sweetwater	Wyoming	143.0	0.07	2.32	10.31	2.98	249.54727265845474	13.67	0.01	4.14	11.47	4186.55	42.1528	-109.4283
James Town	Sweetwater	Wyoming	663.0	0.35	10.74	47.79	13.81	248.0696683975703	63.0	0.07	19.18	53.16	19403.4	41.5651	-109.5392
Fort Bridger	Uinta	Wyoming	181.0	0.09	2.93	13.05	3.77	291.18686615178285	20.19	0.02	5.24	14.51	5296.15	41.3183	-110.3894
Ralston	Park	Wyoming	564.0	0.3	9.14	40.65	11.75	322.12031805591755	69.59	0.07	16.32	45.22	16505.3	44.7085	-108.8823
Cody	Park	Wyoming	9788.0	5.28	158.57	705.49	203.92	318.39102891209404	1193.71	1.22	283.2	784.78	286444.7	44.5212	-109.0549
Parkman	Sheridan	Wyoming	126.0	0.06	2.04	9.08	2.62	292.5159561903356	14.12	0.01	3.65	10.09	3682.85	44.9488	-107.3077
Story	Sheridan	Wyoming	660.0	0.35	10.69	47.57	13.75	260.7363581563222	65.92	0.07	19.1	52.91	19312.15	44.5731	-106.9142
Wilson	Teton	Wyoming	1463.0	0.79	23.7	105.45	30.48	351.4894862789446	196.97	0.2	42.33	117.3	42814.5	43.486	-110.8937
Teton Village	Teton	Wyoming	440.0	0.23	7.13	31.71	9.17	352.5110403618842	59.41	0.06	12.73	35.28	12877.2	43.5931	-110.8441
Buffalo	Johnson	Wyoming	4575.0	2.47	74.11	329.75	95.31	242.13782924578743	424.32	0.45	132.37	366.8	133882.0	44.3426	-106.7139
Osage	Weston	Wyoming	152.0	0.08	2.46	10.96	3.17	197.75033738789622	11.51	0.01	4.4	12.19	4449.35	43.9848	-104.4269
Douglas	Converse	Wyoming	6421.0	3.46	104.02	462.8	133.77	116.12084635499747	285.6	0.35	185.78	514.81	187905.65	42.7541	-105.3968
Red Butte	Natrona	Wyoming	815.0	0.44	13.2	58.74	16.98	142.97352135734187	44.63	0.05	23.58	65.34	23849.1	42.8051	-106.4339
Daniel	Sublette	Wyoming	94.0	0.05	1.52	6.78	1.96	296.53628156145714	10.68	0.01	2.72	7.54	2752.1	42.8658	-110.0767
Smoot	Lincoln	Wyoming	217.0	0.11	3.52	15.64	4.52	331.48736808685766	27.55	0.03	6.28	17.4	6351.0	42.6191	-110.9197
Turnerville	Lincoln	Wyoming	106.0	0.05	1.72	7.64	2.21	335.5779039043621	13.63	0.01	3.07	8.5	3102.5	42.8622	-110.9007
Kemmerer	Lincoln	Wyoming	3235.0	1.74	52.41	233.17	67.4	301.7494242513099	373.91	0.39	93.6	259.38	94673.7	41.7761	-110.5555
Veteran	Goshen	Wyoming	48.0	0.02	0.78	3.46	1.0	60.86965415463327	1.12	0.0	1.39	3.85	1405.25	41.9627	-104.3863
Slater	Platte	Wyoming	94.0	0.05	1.52	6.78	1.96	51.29936909424459	1.85	0.0	2.72	7.54	2752.1	41.8776	-104.7887
Little America	Sweetwater	Wyoming	45.0	0.02	0.73	3.24	0.94	264.7044673915096	4.56	0.0	1.3	3.61	1317.65	41.547	-109.8642
North Rock Springs	Sweetwater	Wyoming	2567.0	1.38	41.59	185.02	53.48	235.13208004209696	231.2	0.25	74.27	205.82	75124.3	41.6698	-109.2714
Reliance	Sweetwater	Wyoming	386.0	0.2	6.25	27.82	8.04	231.34737584265176	34.21	0.04	11.17	30.94	11293.1	41.6682	-109.1977
Cheyenne	Laramie	Wyoming	79484.0	42.92	1287.64	5728.95	1655.92	0.0	0.0	1.17	2299.73	6372.78	2326064.7	41.1351	-104.79
Robertson	Uinta	Wyoming	45.0	0.02	0.73	3.24	0.94	293.2092840127425	5.05	0.01	1.3	3.61	1317.65	41.1816	-110.4274
Powell	Park	Wyoming	6253.0	3.37	101.3	450.7	130.27	323.04929904854765	773.75	0.79	180.92	501.35	182992.75	44.7958	-108.7681
Basin	Big Horn	Wyoming	1282.0	0.69	20.77	92.4	26.71	278.4519935544184	136.74	0.14	37.09	102.79	37518.35	44.3804	-108.0466
Gillette	Campbell	Wyoming	36032.0	19.45	583.72	2597.07	750.67	219.90710171013433	3035.09	3.28	1042.52	2888.94	1054463.1	44.2752	-105.4983
Newcastle	Weston	Wyoming	3397.0	1.83	55.03	244.84	70.77	189.9339907482175	247.14	0.27	98.29	272.35	99407.75	43.851	-104.2123
Riverton	Fremont	Wyoming	12445.0	6.72	201.61	897.0	259.27	227.7472636106713	1085.66	1.17	360.07	997.81	364200.65	43.0421	-108.414
Lander	Fremont	Wyoming	7458.0	4.02	120.82	537.55	155.38	235.1262997733529	671.69	0.72	215.78	597.97	218259.05	42.8313	-108.7599
Bar Nunn	Natrona	Wyoming	2812.0	1.51	45.55	202.68	58.58	147.06736974565163	158.41	0.18	81.36	225.45	82289.25	42.922	-106.3475
Big Piney	Sublette	Wyoming	517.0	0.27	8.38	37.26	10.77	290.9240370537832	57.61	0.06	14.96	41.45	15129.25	42.5401	-110.1192
Rawlins	Carbon	Wyoming	8521.0	4.6	138.04	614.17	177.52	133.89956342572054	437.03	0.52	246.54	683.19	249364.35	41.7849	-107.2265
Baggs	Carbon	Wyoming	417.0	0.22	6.76	30.06	8.69	149.47686903847472	23.88	0.03	12.07	33.44	12205.6	41.0345	-107.6574
Laramie	Albany	Wyoming	33929.0	18.32	549.65	2445.49	706.85	44.21563944749658	574.63	1.02	981.67	2720.32	992916.8	41.3099	-105.6085
Green River	Sweetwater	Wyoming	11906.0	6.42	192.88	858.15	248.04	244.2318869717348	1113.81	1.18	344.48	954.59	348425.35	41.5124	-109.4708
Rock Springs	Sweetwater	Wyoming	25913.0	13.99	419.79	1867.73	539.85	232.06523110853286	2303.41	2.47	749.75	2077.62	758331.3	41.5951	-109.2238
Bairoil	Sweetwater	Wyoming	97.0	0.05	1.57	6.99	2.02	161.9781318519274	6.02	0.01	2.81	7.77	2836.05	42.2372	-107.5611
Evanston	Uinta	Wyoming	11641.0	6.28	188.58	839.05	242.52	321.0427974945293	1431.52	1.47	336.81	933.34	340669.1	41.2602	-110.9646
Bear River	Uinta	Wyoming	506.0	0.27	8.2	36.47	10.54	324.3244260028841	62.86	0.06	14.64	40.57	14808.05	41.3859	-111.0271
Frannie	Big Horn	Wyoming	159.0	0.08	2.58	11.46	3.31	327.99016032344593	19.98	0.02	4.6	12.75	4653.75	44.971	-108.6205
Burlington	Big Horn	Wyoming	342.0	0.18	5.54	24.65	7.12	293.9702227446036	38.51	0.04	9.9	27.41	10004.65	44.4471	-108.432
Cowley	Big Horn	Wyoming	761.0	0.41	12.33	54.85	15.85	318.6979594709749	92.9	0.1	22.02	61.01	22268.65	44.8834	-108.4693
Deaver	Big Horn	Wyoming	181.0	0.09	2.93	13.05	3.77	322.7726655234904	22.38	0.02	5.24	14.51	5296.15	44.889	-108.596
Greybull	Big Horn	Wyoming	1838.0	0.99	29.78	132.48	38.29	284.79528303409967	200.5	0.21	53.18	147.37	53790.05	44.4887	-108.0592
Lovell	Big Horn	Wyoming	2366.0	1.27	38.33	170.53	49.29	313.78812062343576	284.38	0.29	68.46	189.69	69236.85	44.8357	-108.3919
Sheridan	Sheridan	Wyoming	19320.0	10.43	312.98	1392.52	402.5	275.771378157103	2040.8	2.13	558.99	1549.01	565388.65	44.7962	-106.9643
Dayton	Sheridan	Wyoming	828.0	0.44	13.41	59.68	17.25	286.8534134157483	90.98	0.09	23.96	66.38	24228.7	44.8732	-107.2624
Ranchester	Sheridan	Wyoming	1041.0	0.56	16.86	75.03	21.69	286.93492361512847	114.41	0.12	30.12	83.46	30462.9	44.9075	-107.1674
Hulett	Crook	Wyoming	427.0	0.23	6.92	30.78	8.9	245.30246277092573	40.12	0.04	12.35	34.25	12501.25	44.6828	-104.5982
Jackson	Teton	Wyoming	12576.0	6.79	203.73	906.44	262.0	345.68566431054944	1665.21	1.69	363.86	1008.31	368033.15	43.4721	-110.7745
Kaycee	Johnson	Wyoming	278.0	0.15	4.5	20.04	5.79	201.2915774912879	21.43	0.02	8.04	22.29	8135.85	43.71	-106.6372
Worland	Washakie	Wyoming	5024.0	2.71	81.39	362.11	104.67	255.246805421839	491.2	0.52	145.36	402.81	147025.65	44.0026	-107.9543
East Thermopolis	Hot Springs	Wyoming	238.0	0.12	3.86	17.15	4.96	245.50141900205358	22.38	0.02	6.89	19.08	6964.2	43.6441	-108.198
Kirby	Hot Springs	Wyoming	84.0	0.04	1.36	6.05	1.75	252.6318398943561	8.13	0.01	2.43	6.73	2456.45	43.8033	-108.1808
Dubois	Fremont	Wyoming	959.0	0.51	15.54	69.12	19.98	298.3210356269122	109.58	0.11	27.75	76.89	28064.85	43.5389	-109.6443
Hudson	Fremont	Wyoming	445.0	0.24	7.21	32.07	9.27	229.74172647574355	39.16	0.04	12.88	35.67	13019.55	42.9028	-108.5819
Lusk	Niobrara	Wyoming	1526.0	0.82	24.72	109.99	31.79	113.63255156534764	66.42	0.08	44.15	122.35	44657.75	42.7612	-104.4583
Rolling Hills	Converse	Wyoming	424.0	0.22	6.87	30.56	8.83	133.61137266967805	21.7	0.03	12.27	33.99	12406.35	42.9037	-105.8431
Glenrock	Converse	Wyoming	2575.0	1.39	41.71	185.6	53.65	131.0573099586084	129.27	0.15	74.5	206.46	75357.9	42.8565	-105.8624
Lost Springs	Converse	Wyoming	4.0	0.0	0.06	0.29	0.08	112.83857097310782	0.17	0.0	0.12	0.31	113.15	42.7652	-104.9255
Edgerton	Natrona	Wyoming	204.0	0.11	3.3	14.7	4.25	174.19862244544373	13.61	0.02	5.9	16.35	5967.75	43.4142	-106.2477
Evansville	Natrona	Wyoming	2964.0	1.6	48.02	213.64	61.75	141.3188364133241	160.44	0.19	85.76	237.65	86742.25	42.868	-106.2525
Afton	Lincoln	Wyoming	2041.0	1.1	33.06	147.11	42.52	334.1868241588159	261.26	0.27	59.05	163.64	59728.6	42.7271	-110.9315
Alpine	Lincoln	Wyoming	924.0	0.49	14.97	66.6	19.25	348.3902278148989	123.31	0.13	26.73	74.09	27042.85	43.1631	-111.0196
Diamondville	Lincoln	Wyoming	757.0	0.4	12.26	54.56	15.77	300.7437798893436	87.2	0.09	21.9	60.69	22151.85	41.7771	-110.5357
La Barge	Lincoln	Wyoming	569.0	0.3	9.22	41.01	11.85	289.5116025950972	63.1	0.07	16.46	45.62	16651.3	42.2605	-110.1971
Torrington	Goshen	Wyoming	7289.0	3.93	118.08	525.37	151.85	72.01656732107027	201.07	0.29	210.89	584.41	213309.65	42.0658	-104.1623
Fort Laramie	Goshen	Wyoming	227.0	0.12	3.68	16.36	4.73	75.80557370897932	6.59	0.01	6.57	18.2	6643.0	42.2133	-104.5178
La Grange	Goshen	Wyoming	442.0	0.23	7.16	31.86	9.21	47.59673960471293	8.06	0.01	12.79	35.44	12935.6	41.6384	-104.163
Lingle	Goshen	Wyoming	456.0	0.24	7.39	32.87	9.5	73.02869869778127	12.76	0.02	13.19	36.57	13348.05	42.1387	-104.3461
Glendo	Platte	Wyoming	201.0	0.1	3.26	14.49	4.19	95.40221631076952	7.35	0.01	5.82	16.12	5883.8	42.5048	-105.0249
Guernsey	Platte	Wyoming	1124.0	0.6	18.21	81.01	23.42	78.15076671689931	33.65	0.05	32.52	90.12	32893.8	42.2657	-104.743
Hartville	Platte	Wyoming	60.0	0.03	0.97	4.32	1.25	82.46590652781236	1.9	0.0	1.74	4.8	1752.0	42.3277	-104.7245
Dixon	Carbon	Wyoming	94.0	0.05	1.52	6.78	1.96	143.13727515423884	5.15	0.01	2.72	7.54	2752.1	41.0344	-107.5355
Elk Mountain	Carbon	Wyoming	185.0	0.09	3.0	13.33	3.85	92.39645820149208	6.55	0.01	5.35	14.83	5412.95	41.6883	-106.4135
Riverside	Carbon	Wyoming	52.0	0.02	0.84	3.75	1.08	103.70178755265016	2.07	0.0	1.5	4.17	1522.05	41.2154	-106.7813
Encampment	Carbon	Wyoming	426.0	0.23	6.9	30.7	8.88	104.3848088022241	17.03	0.02	12.33	34.15	12464.75	41.2088	-106.7948
Hanna	Carbon	Wyoming	769.0	0.41	12.46	55.43	16.02	104.69055477661647	30.84	0.04	22.25	61.66	22505.9	41.8698	-106.5596
Rock River	Albany	Wyoming	254.0	0.13	4.11	18.31	5.29	73.94438456349336	7.19	0.01	7.35	20.36	7431.4	41.7317	-105.9752
Granger	Sweetwater	Wyoming	128.0	0.06	2.07	9.23	2.67	270.06598334947336	13.24	0.01	3.7	10.27	3748.55	41.597	-109.9627
Burns	Laramie	Wyoming	312.0	0.16	5.05	22.49	6.5	22.74696650984741	2.72	0.01	9.03	25.01	9128.65	41.1909	-104.359
Albin	Laramie	Wyoming	206.0	0.11	3.34	14.85	4.29	40.705486132917194	3.21	0.01	5.96	16.52	6029.8	41.4174	-104.1019
Lyman	Uinta	Wyoming	2070.0	1.11	33.53	149.2	43.12	286.42711885841675	227.11	0.24	59.89	165.96	60575.4	41.3275	-110.2975
Meeteetse	Park	Wyoming	323.0	0.17	5.23	23.28	6.73	293.72916422092004	36.34	0.04	9.35	25.89	9449.85	44.1543	-108.8612
Manderson	Big Horn	Wyoming	113.0	0.06	1.83	8.14	2.35	269.9158106998395	11.68	0.01	3.27	9.05	3303.25	44.2699	-107.9641
Byron	Big Horn	Wyoming	604.0	0.32	9.78	43.53	12.58	315.0790126527182	72.9	0.07	17.48	48.41	17669.65	44.7964	-108.5081
Wright	Campbell	Wyoming	1753.0	0.94	28.4	126.35	36.52	184.10695221449646	123.62	0.14	50.72	140.55	51300.75	43.7484	-105.4963
Clearmont	Sheridan	Wyoming	157.0	0.08	2.54	11.32	3.27	255.17779136198797	15.35	0.02	4.54	12.59	4595.35	44.6399	-106.3812
Moorcroft	Crook	Wyoming	1084.0	0.58	17.56	78.13	22.58	216.34377972044507	89.83	0.1	31.36	86.91	31722.15	44.2643	-104.9473
Pine Haven	Crook	Wyoming	548.0	0.29	8.88	39.5	11.42	222.3547539321586	46.67	0.05	15.86	43.94	16038.1	44.3534	-104.8104
Sundance	Crook	Wyoming	1292.0	0.69	20.93	93.12	26.92	226.94165451993	112.31	0.12	37.38	103.59	37810.35	44.4048	-104.3623
Upton	Weston	Wyoming	1056.0	0.57	17.11	76.11	22.0	205.164297394929	82.99	0.09	30.55	84.67	30904.55	44.1025	-104.6374
Ten Sleep	Washakie	Wyoming	250.0	0.13	4.05	18.02	5.21	241.6808812092348	23.14	0.02	7.23	20.05	7318.25	44.0349	-107.4483
Thermopolis	Hot Springs	Wyoming	3029.0	1.63	49.07	218.32	63.1	246.25749926395628	285.71	0.3	87.64	242.85	88640.25	43.6479	-108.2139
Pavillion	Fremont	Wyoming	230.0	0.12	3.73	16.58	4.79	247.07127824352597	21.77	0.02	6.65	18.45	6734.25	43.244	-108.689
Shoshoni	Fremont	Wyoming	644.0	0.34	10.43	46.42	13.42	223.4395864808496	55.12	0.06	18.63	51.64	18848.6	43.238	-108.1068
Manville	Niobrara	Wyoming	87.0	0.04	1.41	6.27	1.81	113.94979176642204	3.8	0.0	2.52	6.97	2544.05	42.7794	-104.6175
Van Tassell	Niobrara	Wyoming	18.0	0.0	0.29	1.3	0.38	111.59374698465855	0.77	0.0	0.52	1.45	529.25	42.6643	-104.0913
Midwest	Natrona	Wyoming	394.0	0.21	6.38	28.4	8.21	174.66911244969123	26.36	0.03	11.4	31.59	11530.35	43.4113	-106.2772
Mills	Natrona	Wyoming	3979.0	2.14	64.46	286.79	82.9	143.81794861539146	219.2	0.26	115.13	319.02	116442.3	42.8473	-106.383
Marbleton	Sublette	Wyoming	1111.0	0.59	18.0	80.08	23.15	290.37939213289127	123.57	0.13	32.14	89.09	32517.85	42.5574	-110.1004
Pinedale	Sublette	Wyoming	1871.0	1.01	30.31	134.86	38.98	286.93866490642614	205.64	0.21	54.13	150.02	54757.3	42.8676	-109.8706
Opal	Lincoln	Wyoming	109.0	0.05	1.77	7.86	2.27	289.84692224584023	12.1	0.01	3.15	8.75	3193.75	41.768	-110.3242
Cokeville	Lincoln	Wyoming	554.0	0.29	8.97	39.93	11.54	325.17584800764786	69.0	0.07	16.03	44.41	16209.65	42.068	-110.9607
Star Valley Ranch	Lincoln	Wyoming	1659.0	0.89	26.88	119.58	34.56	341.1762663497405	216.81	0.22	48.0	133.02	48552.3	42.9798	-110.9617
Thayne	Lincoln	Wyoming	394.0	0.21	6.38	28.4	8.21	341.4701172441147	51.53	0.05	11.4	31.59	11530.35	42.9194	-110.997
Yoder	Goshen	Wyoming	154.0	0.08	2.49	11.1	3.21	59.76823408358166	3.53	0.01	4.46	12.34	4504.1	41.917	-104.2956
Chugwater	Platte	Wyoming	201.0	0.1	3.26	14.49	4.19	42.91799697242139	3.3	0.01	5.82	16.12	5883.8	41.7558	-104.8229
Wheatland	Platte	Wyoming	3462.0	1.86	56.08	249.53	72.12	63.923762226538166	84.77	0.13	100.17	277.56	101309.4	42.0516	-104.9595
Medicine Bow	Carbon	Wyoming	259.0	0.13	4.2	18.67	5.4	90.13084435358225	8.94	0.01	7.49	20.78	7584.7	41.8995	-106.2019
Saratoga	Carbon	Wyoming	1615.0	0.87	26.16	116.4	33.65	107.14840348557806	66.28	0.08	46.73	129.48	47260.2	41.4517	-106.8107
Sinclair	Carbon	Wyoming	395.0	0.21	6.4	28.47	8.23	128.51041438277534	19.44	0.02	11.43	31.67	11559.55	41.7761	-107.1199
Wamsutter	Sweetwater	Wyoming	467.0	0.25	7.57	33.66	9.73	169.3056150973628	30.29	0.03	13.51	37.45	13669.25	41.6679	-107.979
Pine Bluffs	Laramie	Wyoming	1159.0	0.62	18.78	83.54	24.15	37.624238915911334	16.7	0.03	33.53	92.94	33923.1	41.1803	-104.0692
Mountain View	Uinta	Wyoming	1226.0	0.66	19.86	88.37	25.54	288.3125373384307	135.39	0.14	35.47	98.3	35879.5	41.2723	-110.3344
Mammoth	Park	Wyoming	49.0	0.02	0.79	3.53	1.02	398.72004744997594	7.48	0.01	1.42	3.92	1430.8	44.9733	-110.6931
Osmond	Lincoln	Wyoming	669.0	0.36	10.84	48.22	13.94	333.6497076292601	85.5	0.09	19.36	53.64	19578.6	42.6777	-110.9408
Ryan Park	Carbon	Wyoming	26.0	0.01	0.42	1.87	0.54	89.1654981066211	0.89	0.0	0.75	2.08	759.2	41.3131	-106.4895
Carpenter	Laramie	Wyoming	350.0	0.18	5.67	25.23	7.29	23.008041196700024	3.08	0.01	10.13	28.06	10241.9	41.0456	-104.3644
Urie	Uinta	Wyoming	318.0	0.17	5.15	22.92	6.62	288.3623765503883	35.12	0.04	9.2	25.49	9303.85	41.3089	-110.3351
Shell	Big Horn	Wyoming	95.0	0.05	1.54	6.85	1.98	279.55792702271106	10.17	0.01	2.75	7.62	2781.3	44.5346	-107.7843
Kelly	Teton	Wyoming	122.0	0.06	1.98	8.79	2.54	343.82513919208407	16.07	0.02	3.53	9.78	3569.7	43.6228	-110.6274
Orin	Converse	Wyoming	89.0	0.04	1.44	6.41	1.85	106.6355825288446	3.64	0.0	2.58	7.12	2598.8	42.6506	-105.1827
Freedom	Lincoln	Wyoming	268.0	0.14	4.34	19.32	5.58	344.53703526357765	35.37	0.04	7.75	21.49	7843.85	42.9854	-111.0296
Alpine Northwest	Lincoln	Wyoming	172.0	0.09	2.79	12.4	3.58	349.55510360019883	23.03	0.02	4.98	13.79	5033.35	43.1816	-111.0344
Taylor	Lincoln	Wyoming	110.0	0.05	1.78	7.93	2.29	326.67937627264683	13.76	0.01	3.18	8.82	3219.3	42.0703	-110.9899
Casper	Natrona	Wyoming	67598.0	36.5	1095.09	4872.25	1408.29	141.7202292341873	3669.52	4.32	1955.83	5419.8	1978227.0	42.842	-106.3207
Point of Rocks	Sweetwater	Wyoming	56.0	0.03	0.91	4.04	1.17	209.9416759674288	4.5	0.0	1.62	4.5	1642.5	41.6831	-108.7755
Whiting	Platte	Wyoming	134.0	0.07	2.17	9.66	2.79	61.09218219725291	3.14	0.0	3.88	10.74	3920.1	42.0089	-104.9711
Fox Park	Albany	Wyoming	8.0	0.0	0.13	0.58	0.17	71.07634514939475	0.22	0.0	0.23	0.65	237.25	41.0801	-106.1534
Arrowhead Springs	Sweetwater	Wyoming	120.0	0.06	1.94	8.65	2.5	227.93107685912167	10.48	0.01	3.47	9.62	3511.3	41.5081	-109.1551
Bessemer Bend	Natrona	Wyoming	232.0	0.12	3.76	16.72	4.83	143.1817070548779	12.72	0.01	6.71	18.6	6789.0	42.7576	-106.5237
Boulder Flats	Fremont	Wyoming	250.0	0.13	4.05	18.02	5.21	239.69744797023904	22.95	0.02	7.23	20.05	7318.25	42.9156	-108.7993
Casper Mountain	Natrona	Wyoming	835.0	0.45	13.53	60.18	17.4	136.21525864163772	43.57	0.05	24.16	66.95	24436.75	42.7448	-106.3206
Chugcreek	Platte	Wyoming	216.0	0.11	3.5	15.57	4.5	63.74399718549664	5.27	0.01	6.25	17.32	6321.8	42.0535	-104.9079
Clearview Acres	Sweetwater	Wyoming	1208.0	0.65	19.57	87.07	25.17	234.87515363631542	108.68	0.12	34.95	96.86	35353.9	41.5842	-109.2801
Hartrandt	Natrona	Wyoming	808.0	0.43	13.09	58.24	16.83	144.90917260511742	44.85	0.05	23.38	64.78	23644.7	42.8836	-106.3492
Hill View Heights	Weston	Wyoming	80.0	0.04	1.3	5.77	1.67	188.04906059742856	5.76	0.01	2.31	6.43	2346.95	43.8159	-104.1517
Homa Hills	Natrona	Wyoming	239.0	0.12	3.87	17.23	4.98	151.4259037458551	13.86	0.02	6.92	19.16	6993.4	42.9857	-106.3719
Johnstown	Fremont	Wyoming	184.0	0.09	2.98	13.26	3.83	242.24852734958432	17.07	0.02	5.32	14.75	5383.75	43.1118	-108.6955
Meadow Acres	Natrona	Wyoming	130.0	0.07	2.11	9.37	2.71	136.68018616530665	6.81	0.01	3.76	10.43	3806.95	42.8593	-106.0953
Moose Wilson Road	Teton	Wyoming	1398.0	0.75	22.65	100.76	29.12	350.1635849328886	187.51	0.19	40.45	112.08	40909.2	43.5315	-110.834
Purple Sage	Sweetwater	Wyoming	818.0	0.44	13.25	58.96	17.04	236.69400926068928	74.16	0.08	23.67	65.58	23936.7	41.5515	-109.3199
South Park	Teton	Wyoming	1812.0	0.97	29.35	130.6	37.75	345.36334744132364	239.71	0.24	52.43	145.27	53023.55	43.4235	-110.7993
Y-O Ranch	Platte	Wyoming	115.0	0.06	1.86	8.29	2.4	62.55910578666701	2.76	0.0	3.33	9.22	3365.3	42.0351	-104.9229
Rafter J Ranch	Teton	Wyoming	1750.0	0.94	28.35	126.13	36.46	345.2827598561723	231.45	0.24	50.63	140.31	51213.15	43.4317	-110.7922
Ranchettes	Laramie	Wyoming	6289.0	3.39	101.88	453.29	131.02	5.837147698442855	14.06	0.11	181.96	504.23	184043.95	41.2186	-104.7729
Sleepy Hollow	Campbell	Wyoming	1368.0	0.73	22.16	98.6	28.5	216.47226785764659	113.43	0.12	39.58	109.68	40033.2	44.2327	-105.4309
